eval_scheme,task,model,target,metric,mean,std
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),R2,0.722673925,0.337448758
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),RMSE,0.939590309,0.382262462
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),MAE,0.760419666,0.265578771
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),R2,0.834063505,0.171770282
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),RMSE,0.771540302,0.185865795
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),MAE,0.646258835,0.185339333
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),R2,0.954470806,0.050833776
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),RMSE,0.363115188,0.315364458
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),MAE,0.170235268,0.127301124
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),R2,0.908408375,0.081959648
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),RMSE,0.545746844,0.334731866
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),MAE,0.392521964,0.215462904
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),RMSE,0.990648812,0.294608371
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),MAE,0.796344876,0.245120587
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),RMSE,1.70063881,1.016718021
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),MAE,1.563717608,1.068919019
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),RMSE,2.065383444,0.59423996
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),MAE,2.027597222,0.605582505
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),R2,0,0
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),RMSE,2.299531798,0.550019885
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),MAE,2.292111346,0.551859256
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,R2,-0.447002598,1.006533276
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,RMSE,0.277085278,0.130935621
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,MAE,0.243146715,0.116920316
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),R2,-1.251189505,1.353014787
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),RMSE,3.249033028,1.209873829
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),MAE,2.706529558,1.103541538
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,R2,-0.849096052,0.568646016
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,RMSE,1.763059153,2.101484407
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,MAE,1.474838136,1.741874713
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,R2,0.660943867,0.344265958
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,RMSE,0.121145577,0.063591018
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,MAE,0.102315445,0.05108612
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),R2,0.689829453,0.291881556
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),RMSE,1.0550109,0.325022361
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),MAE,0.842182046,0.25285351
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,R2,0.67538666,0.020425194
