eval_scheme,task,model,target,metric,mean,std
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),R2,0.7226739249062177,0.3374487580472847
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),RMSE,0.9395903093646887,0.3822624618718253
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),MAE,0.7604196657416606,0.2655787712545801
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),R2,0.8340635049715102,0.17177028154397178
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),RMSE,0.7715403021400074,0.18586579512767606
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),MAE,0.6462588348234725,0.18533933332551966
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),R2,0.954470806344981,0.05083377625833807
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),RMSE,0.36311518805060916,0.3153644579594809
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),MAE,0.17023526785709453,0.12730112419262632
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),R2,0.908408375368458,0.08195964835652562
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),RMSE,0.5457468443872369,0.3347318659864113
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),MAE,0.39252196448189863,0.2154629038279742
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),RMSE,0.9906488115296537,0.29460837114166805
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),MAE,0.7963448764330978,0.24512058722615476
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),RMSE,1.7006388096221965,1.016718020514847
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),MAE,1.5637176077590018,1.0689190194224496
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),RMSE,2.0653834440189653,0.594239959643663
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),MAE,2.027597222222229,0.6055825048157789
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),RMSE,2.299531797830167,0.5500198845837544
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),MAE,2.292111346456739,0.5518592562234034
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,R2,-0.447002597789259,1.006533276216784
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,RMSE,0.2770852783211571,0.1309356206516911
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,MAE,0.24314671511317507,0.11692031562887868
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),R2,-1.251189505321703,1.3530147871456237
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),RMSE,3.2490330283598645,1.2098738290910582
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),MAE,2.706529557696239,1.1035415384901224
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,R2,-0.8490960515554811,0.5686460156576302
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,RMSE,1.7630591533405109,2.1014844073844725
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,MAE,1.4748381364047072,1.7418747126490781
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,R2,0.6609438668235434,0.3442659583337084
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,RMSE,0.1211455769203182,0.06359101826365242
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,MAE,0.10231544483941728,0.0510861204462754
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),R2,0.6898294525118662,0.2918815555206683
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),RMSE,1.0550108997900398,0.32502236106528487
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),MAE,0.842182045806444,0.2528535104725068
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,R2,0.6753866596677048,0.020425193518758124
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,RMSE,0.588078238355179,0.6603425025161448
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,MAE,0.4722487453229306,0.523164690717226
KFold,"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,R2,-0.12276782267046167,0.3413878154031745
