eval_scheme,task,model,target,metric,mean,std
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),R2,0.7537312541038796,0.23509752951421128
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),RMSE,0.9313312468619431,0.37314928664826036
KFold,Task_A: 5->UCS,MLP,单轴抗压强度(MPa),MAE,0.750144725575478,0.2857719338747975
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),R2,0.8367840173688137,0.16025379115172522
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),RMSE,0.7736284975175949,0.17919188286400903
KFold,Task_A: 5->UCS,SVR,单轴抗压强度(MPa),MAE,0.6375548608422633,0.18621634184886562
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),R2,0.9552312377319462,0.05039370068195798
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),RMSE,0.35740169756226975,0.3167644862096017
KFold,Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),MAE,0.17006952380954157,0.1336759188406875
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),R2,0.927140396261844,0.06539171520528635
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),RMSE,0.4766310963173045,0.36461651681757734
KFold,Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),MAE,0.23390069144112724,0.1597975627804469
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),RMSE,1.16532639146323,0.4858338458685641
GroupKFold(UCS),Task_A: 5->UCS,MLP,单轴抗压强度(MPa),MAE,1.0407345792246172,0.5389660898382009
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),RMSE,2.0750895520373116,1.276413820248987
GroupKFold(UCS),Task_A: 5->UCS,SVR,单轴抗压强度(MPa),MAE,1.9731983496176757,1.3623218754452309
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),RMSE,2.230949133348356,0.7532095071114598
GroupKFold(UCS),Task_A: 5->UCS,Random_Forest,单轴抗压强度(MPa),MAE,2.147777777777776,0.8148441650157087
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),R2,0.0,0.0
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),RMSE,2.176959962039343,0.6599030790605626
GroupKFold(UCS),Task_A: 5->UCS,XGBoost,单轴抗压强度(MPa),MAE,2.169954938358731,0.6645235068915062
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,R2,-0.011617095996758286,0.97731670570717
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,RMSE,0.1989907143243183,0.09268402348784904
KFold,"Task_B: 4->[Id,UCS]",MLP,岩石可钻性指数,MAE,0.1694556061870081,0.08361380773353885
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),R2,0.3596012821105294,0.6068308069256574
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),RMSE,1.559410212650749,0.26086017004357714
KFold,"Task_B: 4->[Id,UCS]",MLP,单轴抗压强度(MPa),MAE,1.2812727652808735,0.29486092326062724
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,R2,0.17399209305688554,0.2624910324607349
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,RMSE,0.8792004634875337,0.9619618525250201
KFold,"Task_B: 4->[Id,UCS]",MLP,MACRO_AVG,MAE,0.7253641857339408,0.7861734526348348
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,R2,0.7240035055733605,0.25794353150686405
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,RMSE,0.11035618037474722,0.05383492096820049
KFold,"Task_B: 4->[Id,UCS]",SVR,岩石可钻性指数,MAE,0.0890595008868104,0.04299679025120114
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),R2,0.6998084257254393,0.2881123244748584
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),RMSE,1.0326156012762584,0.3231691170223771
KFold,"Task_B: 4->[Id,UCS]",SVR,单轴抗压强度(MPa),MAE,0.8276158437916361,0.2384932964313784
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,R2,0.7119059656493999,0.017108505031815012
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,RMSE,0.5714858908255028,0.6521358905326369
KFold,"Task_B: 4->[Id,UCS]",SVR,MACRO_AVG,MAE,0.45833767233922323,0.5222381983563393
KFold,"Task_B: 4->[Id,UCS]",Random_Forest,岩石可钻性指数,R2,0.02347444931567666,0.297072992596978
